go_id,Q,auc_sim,auc_real
SIMGO_100_Q2,Q2,0.47332483145808885,0.5245708039257623
SIMGO_100_Q3,Q3,0.5228188145693841,0.7669337515445299
SIMGO_101_Q2,Q2,0.4987137203469777,0.5237938936940933
SIMGO_101_Q3,Q3,0.5227017095787027,0.7823980082163715
SIMGO_102_Q2,Q2,0.49211496514116104,0.435946911907987
SIMGO_102_Q3,Q3,0.5596948183428821,0.7702181744730402
SIMGO_103_Q2,Q2,0.4517172062308736,0.4818751930800124
SIMGO_103_Q3,Q3,0.5293016037366834,0.7366094571298077
SIMGO_104_Q2,Q2,0.42933600239295006,0.45148442289869534
SIMGO_104_Q3,Q3,0.5031834863440786,0.7130821689953427
SIMGO_105_Q2,Q2,0.5115929569038908,0.5105140562248995
SIMGO_105_Q3,Q3,0.5220189250132302,0.7492240122928745
SIMGO_106_Q2,Q2,0.4550607211062792,0.46338447079198375
SIMGO_106_Q3,Q3,0.5251340627229011,0.8201576483448586
SIMGO_107_Q2,Q2,0.5287483721037253,0.5176734246719992
SIMGO_107_Q3,Q3,0.48583094038333224,0.8009367896658509
SIMGO_108_Q2,Q2,0.4880050044867812,0.3880883249776257
SIMGO_108_Q3,Q3,0.4648568946871908,0.7680405326912313
SIMGO_109_Q2,Q2,0.46873137985780355,0.46260088289030404
SIMGO_109_Q3,Q3,0.5377887531349946,0.7019415137978012
SIMGO_10_Q2,Q2,0.4886224776236166,0.4324203322164397
SIMGO_10_Q3,Q3,0.5086436115137709,0.8089166607257432
SIMGO_110_Q2,Q2,0.47260767124548436,0.5275442765263124
SIMGO_110_Q3,Q3,0.507841915740549,0.7781130676552364
SIMGO_111_Q2,Q2,0.4343900968684568,0.44378493857085144
SIMGO_111_Q3,Q3,0.4959284415913118,0.7634205072561335
SIMGO_112_Q2,Q2,0.4466892041140333,0.4657094175518644
SIMGO_112_Q3,Q3,0.5077896274821103,0.7841414415056677
SIMGO_113_Q2,Q2,0.4642873035595131,0.518860216075785
SIMGO_113_Q3,Q3,0.5399427992913186,0.7183739135485642
SIMGO_114_Q2,Q2,0.45180939232875444,0.4358160214823792
SIMGO_114_Q3,Q3,0.5433481857297348,0.7481317271366456
SIMGO_115_Q2,Q2,0.47808060099859645,0.5666427462535247
SIMGO_115_Q3,Q3,0.5085691424495525,0.7831023264656258
SIMGO_116_Q2,Q2,0.4419002899150963,0.5392208835341366
SIMGO_116_Q3,Q3,0.4936997192885575,0.7141154434069111
SIMGO_117_Q2,Q2,0.44863709992867173,0.42547402549398555
SIMGO_117_Q3,Q3,0.5111226156784244,0.7708352938380741
SIMGO_118_Q2,Q2,0.5038223579761165,0.5396640764240394
SIMGO_118_Q3,Q3,0.5102546190837762,0.7790671703851545
