GO ID,n_genes,n_neurons_peak,pct_neurons_peak,auc_all,auc_noneurons,auc
GO:0000045,57,10,0.17543859649122806,0.532990142123742,0.5606697249917649,0.532990142123742
GO:0000070,32,5,0.15625,0.510982453467408,0.5950280592163735,0.510982453467408
GO:0000077,33,10,0.30303030303030304,0.4969352984361365,0.5899706342720206,0.4969352984361365
GO:0000079,50,16,0.32,0.49136407557149,0.540830726981463,0.49136407557149
GO:0000082,57,13,0.22807017543859648,0.480133607564936,0.5008060909409839,0.480133607564936
GO:0000086,46,15,0.32608695652173914,0.5080039316369676,0.5619664963522205,0.5080039316369676
GO:0000132,33,5,0.15151515151515152,0.511080252471385,0.5451440352019354,0.511080252471385
GO:0000165,107,23,0.21495327102803738,0.4565091283218775,0.5450866862221445,0.4565091283218775
GO:0000184,30,2,0.06666666666666667,0.4243709853504965,0.5314646964734555,0.4243709853504965
GO:0000209,137,27,0.19708029197080293,0.494443591187563,0.5229989704033625,0.494443591187563
GO:0000226,120,28,0.23333333333333334,0.4851937776414345,0.534402561546131,0.4851937776414345
GO:0000245,23,2,0.08695652173913043,0.5006851400730815,0.5963292442433735,0.5006851400730815
GO:0000278,126,34,0.2698412698412698,0.4914743282924055,0.5049145697308055,0.4914743282924055
GO:0000281,62,12,0.1935483870967742,0.4815523911328295,0.501230561706243,0.4815523911328295
GO:0000289,19,0,0.0,0.4991628614916285,0.6663284288855065,0.4991628614916285
GO:0000375,24,0,0.0,0.5772855602080955,0.598911940109123,0.5772855602080955
GO:0000380,19,3,0.15789473684210525,0.5080120074412311,0.4206177067478435,0.5080120074412311
GO:0000381,52,16,0.3076923076923077,0.5460321307129705,0.5270840158753669,0.5460321307129705
GO:0000387,25,2,0.08,0.47372753921120747,0.5962498731028885,0.47372753921120747
GO:0000398,164,12,0.07317073170731707,0.47464528142352946,0.593054783653732,0.47464528142352946
GO:0000413,21,4,0.19047619047619047,0.4343453015244765,0.5532153187047391,0.4343453015244765
GO:0000422,36,4,0.1111111111111111,0.5230109138323725,0.5716098537766601,0.5230109138323725
GO:0000423,19,3,0.15789473684210525,0.3237231523761205,0.46696685269744653,0.3237231523761205
GO:0000462,24,2,0.08333333333333333,0.4358663240705495,0.574898490039335,0.4358663240705495
GO:0000723,47,4,0.0851063829787234,0.45472510338282146,0.5740212527964206,0.45472510338282146
GO:0000724,82,6,0.07317073170731707,0.4735965605431075,0.5986927382634855,0.4735965605431075
GO:0000902,83,23,0.27710843373493976,0.4867092288576945,0.491243027467153,0.4867092288576945
GO:0001501,112,24,0.21428571428571427,0.477827217882403,0.4825747798845065,0.477827217882403
GO:0001502,18,5,0.2777777777777778,0.58606862322333,0.6007427981973295,0.58606862322333
GO:0001503,67,18,0.26865671641791045,0.4745513105389365,0.43992572378227746,0.4745513105389365
GO:0001523,25,4,0.16,0.546991586721486,0.5637396261611085,0.546991586721486
GO:0001525,223,44,0.19730941704035873,0.4796130778273635,0.498784730927588,0.4796130778273635
GO:0001541,36,8,0.2222222222222222,0.4557339954448085,0.4422695098512365,0.4557339954448085
GO:0001556,17,5,0.29411764705882354,0.5389590625475575,0.4997400192766195,0.5389590625475575
GO:0001558,71,18,0.2535211267605634,0.460943867155664,0.528697601077212,0.460943867155664
GO:0001568,36,7,0.19444444444444445,0.5313127079681985,0.48816645076075105,0.5313127079681985
GO:0001569,27,4,0.14814814814814814,0.507316027571891,0.5218183459121626,0.507316027571891
GO:0001570,61,10,0.16393442622950818,0.4386216725199775,0.473091311650634,0.4386216725199775
GO:0001578,30,7,0.23333333333333334,0.5500622032650371,0.524317668266179,0.5500622032650371
GO:0001580,17,9,0.5294117647058824,0.6738598894130775,0.477694922132603,0.6738598894130775
GO:0001649,104,17,0.16346153846153846,0.476602383580778,0.5086669520355056,0.476602383580778
GO:0001654,39,6,0.15384615384615385,0.5433073405253279,0.621243746091307,0.5433073405253279
GO:0001656,25,6,0.24,0.513367024516522,0.4746015430688795,0.513367024516522
GO:0001657,34,9,0.2647058823529412,0.5449466089466091,0.4866054834054835,0.5449466089466091
GO:0001658,40,9,0.225,0.5976720004847145,0.576923076923077,0.5976720004847145
GO:0001659,18,10,0.5555555555555556,0.6357308339463426,0.48295199925593346,0.6357308339463426
GO:0001662,29,11,0.3793103448275862,0.46582183859411597,0.3884474344870385,0.46582183859411597
GO:0001666,143,31,0.21678321678321677,0.48910152044183497,0.4919577977132345,0.48910152044183497
GO:0001675,23,6,0.2608695652173913,0.467715039730874,0.484800040600893,0.467715039730874
GO:0001676,27,9,0.3333333333333333,0.555136731309439,0.5505282544195125,0.555136731309439
GO:0001678,24,4,0.16666666666666666,0.47957746478873253,0.558733028803451,0.47957746478873253
GO:0001701,192,33,0.171875,0.473925798822652,0.4942452073854145,0.473925798822652
GO:0001707,28,5,0.17857142857142858,0.509285349625004,0.5133441643608425,0.509285349625004
GO:0001708,28,8,0.2857142857142857,0.5408617436261944,0.44413559092563,0.5408617436261944
GO:0001755,43,15,0.3488372093023256,0.499512590946717,0.469654475086771,0.499512590946717
GO:0001756,37,4,0.10810810810810811,0.4665870717539675,0.49130806618232303,0.4665870717539675
GO:0001764,96,28,0.2916666666666667,0.46967420704789653,0.5006024490290639,0.46967420704789653
GO:0001774,20,2,0.1,0.516287388690159,0.592675749042291,0.516287388690159
GO:0001778,21,5,0.23809523809523808,0.5500855388585635,0.529625078833482,0.5500855388585635
GO:0001782,25,2,0.08,0.458135056596112,0.5882505964164255,0.458135056596112
GO:0001817,55,13,0.23636363636363636,0.4831045369239815,0.517675547189436,0.4831045369239815
GO:0001818,29,6,0.20689655172413793,0.45404501988660395,0.4752305999830755,0.45404501988660395
GO:0001819,51,15,0.29411764705882354,0.538508140515895,0.49920793767613847,0.538508140515895
GO:0001822,105,23,0.21904761904761905,0.485387803045226,0.5045280775095395,0.485387803045226
GO:0001824,18,6,0.3333333333333333,0.5554223845640025,0.5543443336800005,0.5554223845640025
GO:0001835,22,5,0.22727272727272727,0.454876629802412,0.460016601601438,0.454876629802412
GO:0001836,21,3,0.14285714285714285,0.4432199581004575,0.4734068387592515,0.4432199581004575
GO:0001837,45,5,0.1111111111111111,0.463856268957687,0.4981148221578295,0.463856268957687
GO:0001843,73,13,0.1780821917808219,0.46032921103129754,0.5003486550511995,0.46032921103129754
GO:0001889,69,10,0.14492753623188406,0.46880791842428704,0.5104084321475625,0.46880791842428704
GO:0001890,33,11,0.3333333333333333,0.4818842085336065,0.4472640468374125,0.4818842085336065
GO:0001892,19,1,0.05263157894736842,0.433836462032809,0.581428631828175,0.433836462032809
