cell_type,term,coef,pval,n_terms,n_obs
Astrocytes,Intercept,0.4927073069758767,0.0,1379,137900
Astrocytes,pct_ct,0.010582883327992943,1.4962183010094012e-15,1379,137900
Astrocytes,is_all_cells,0.024306546536070124,1.1051813584064333e-297,1379,137900
Astrocytes,pct_ct:is_all_cells,-0.016580244813421324,0.0,1379,137900
Astrocytes,RE_var_intercept,0.0017114945860871305,,1379,137900
Microglial cells,Intercept,0.5031220050690605,0.0,1392,139200
Microglial cells,pct_ct,0.002899706431352295,0.000515999846849384,1392,139200
Microglial cells,is_all_cells,0.07526701074022152,0.0,1392,139200
Microglial cells,pct_ct:is_all_cells,-0.02370238317268568,0.0,1392,139200
Microglial cells,RE_var_intercept,0.001588040226090657,,1392,139200
Oligodendrocyte precursor cells,Intercept,0.5218142696719839,0.0,1231,123100
Oligodendrocyte precursor cells,pct_ct,-0.010060656172110272,6.77753638845127e-05,1231,123100
Oligodendrocyte precursor cells,is_all_cells,-0.014679843335135605,1.8016877702604224e-163,1231,123100
Oligodendrocyte precursor cells,pct_ct:is_all_cells,0.004590953001612948,1.3527081799146588e-15,1231,123100
Oligodendrocyte precursor cells,RE_var_intercept,0.0016187227854151873,,1231,123100
Oligodendrocytes,Intercept,0.48701212487712725,0.0,1345,134500
Oligodendrocytes,pct_ct,0.0207020542330058,4.180379206512917e-31,1345,134500
Oligodendrocytes,is_all_cells,0.02978391732488102,0.0,1345,134500
Oligodendrocytes,pct_ct:is_all_cells,-0.029550741296799625,0.0,1345,134500
Oligodendrocytes,RE_var_intercept,0.0016345499369770607,,1345,134500
Neurons,Intercept,0.5437399248599464,0.0,1386,138600
Neurons,pct_ct,-0.012278196617062951,8.520609033838352e-45,1386,138600
Neurons,is_all_cells,-0.11183488802643843,0.0,1386,138600
Neurons,pct_ct:is_all_cells,0.04187821196622179,0.0,1386,138600
Neurons,RE_var_intercept,0.0016322908722543237,,1386,138600
