,Astrocytes,Excitatory neurons,Inhibitory neurons,Microglial cells,Oligodendrocyte precursor cells,Oligodendrocytes
0,ENSG00000068078,ENSG00000182175,ENSG00000105464,ENSG00000137491,ENSG00000134853,ENSG00000196187
1,ENSG00000018625,ENSG00000069431,ENSG00000115963,ENSG00000175899,ENSG00000198732,ENSG00000103089
2,ENSG00000165795,ENSG00000111344,ENSG00000144355,ENSG00000151702,ENSG00000184221,ENSG00000136541
3,ENSG00000135540,ENSG00000047936,ENSG00000171016,ENSG00000163513,ENSG00000112280,ENSG00000169247
4,ENSG00000130203,ENSG00000163219,ENSG00000143507,ENSG00000106034,ENSG00000169302,ENSG00000105695
5,ENSG00000171885,ENSG00000161791,ENSG00000248485,ENSG00000107099,ENSG00000064989,ENSG00000124920
6,ENSG00000127249,ENSG00000121691,ENSG00000153012,ENSG00000138185,ENSG00000196562,ENSG00000135362
7,ENSG00000105854,ENSG00000153071,ENSG00000145681,ENSG00000067066,ENSG00000101311,ENSG00000081479
8,ENSG00000162407,ENSG00000078098,ENSG00000204103,ENSG00000168918,ENSG00000165424,ENSG00000129538
9,ENSG00000154930,ENSG00000137809,ENSG00000145708,ENSG00000139679,ENSG00000114200,ENSG00000122367
10,ENSG00000106571,ENSG00000183762,ENSG00000119283,ENSG00000082074,ENSG00000075461,ENSG00000141540
11,ENSG00000164188,ENSG00000197233,ENSG00000131620,ENSG00000077420,ENSG00000102934,ENSG00000126860
12,ENSG00000139155,ENSG00000157502,ENSG00000134954,ENSG00000169313,ENSG00000152953,ENSG00000176485
13,ENSG00000152661,ENSG00000128567,ENSG00000172671,ENSG00000003402,ENSG00000203805,ENSG00000092529
14,ENSG00000124440,ENSG00000113721,ENSG00000070601,ENSG00000173068,ENSG00000162407,ENSG00000108381
15,ENSG00000140022,ENSG00000126785,ENSG00000003989,ENSG00000185650,ENSG00000205927,ENSG00000109099
16,ENSG00000136297,ENSG00000102683,ENSG00000100362,ENSG00000164330,ENSG00000136205,ENSG00000197430
17,ENSG00000147509,ENSG00000177606,ENSG00000101180,ENSG00000059377,ENSG00000127249,ENSG00000102934
18,ENSG00000114790,ENSG00000174749,ENSG00000075461,ENSG00000087253,ENSG00000120156,ENSG00000169504
19,ENSG00000146005,ENSG00000156463,ENSG00000168081,ENSG00000173193,ENSG00000031081,ENSG00000065361
20,ENSG00000100033,ENSG00000184486,ENSG00000148411,ENSG00000027075,ENSG00000065320,ENSG00000173988
21,ENSG00000143772,ENSG00000144857,ENSG00000183943,ENSG00000128849,ENSG00000105854,ENSG00000071991
22,ENSG00000165478,ENSG00000125257,ENSG00000133110,ENSG00000168329,ENSG00000154856,ENSG00000165478
23,ENSG00000164089,ENSG00000183773,ENSG00000147027,ENSG00000163565,ENSG00000169129,ENSG00000171766
