id	name	namespace	CTAffiliated	BrainAffiliated	def
GO:0000045	autophagosome assembly	biological_process	F		The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm. [GOC:autophagy, PMID:9412464]
GO:0000070	mitotic sister chromatid segregation	biological_process	F		The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets. [GOC:ai, GOC:jl]
GO:0000077	DNA damage checkpoint signaling	biological_process	F		A signal transduction process that contributes to a DNA damage checkpoint. [GOC:mah]
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	F		Any process that modulates the frequency, rate or extent of cyclin-dependent protein serine/threonine kinase activity. [GOC:go_curators, GOC:pr]
GO:0000082	G1/S transition of mitotic cell cycle	biological_process	F		The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated. [GOC:mtg_cell_cycle]
GO:0000086	G2/M transition of mitotic cell cycle	biological_process	F		The mitotic cell cycle transition by which a cell in G2 commits to M phase. The process begins when the kinase activity of M cyclin/CDK complex reaches a threshold high enough for the cell cycle to proceed. This is accomplished by activating a positive feedback loop that results in the accumulation of unphosphorylated and active M cyclin/CDK complex. [GOC:mtg_cell_cycle]
GO:0000132	establishment of mitotic spindle orientation	biological_process	F		A cell cycle process that sets the alignment of mitotic spindle relative to other cellular structures. [GOC:ems]
GO:0000165	MAPK cascade	biological_process	F		An intracellular protein kinase cascade containing at least a MAP kinase (MAPK). It starts with the activation of a MAP3K, and the consecutive activation of a MPK2K and a MAPK. The cascade can also contain an additional tier: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell. [PMID:20811974, PMID:9561267]
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological_process	F		The nonsense-mediated decay pathway for nuclear-transcribed mRNAs degrades mRNAs in which an amino-acid codon has changed to a nonsense codon; this prevents the translation of such mRNAs into truncated, and potentially harmful, proteins. [GOC:krc, GOC:ma, PMID:10025395]
GO:0000209	protein polyubiquitination	biological_process	F		Addition of multiple ubiquitin groups to a protein, forming a ubiquitin chain. [ISBN:0815316194]
GO:0000226	microtubule cytoskeleton organization	biological_process	F		A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins. [GOC:mah]
GO:0000245	spliceosomal complex assembly	biological_process	F		The aggregation, arrangement and bonding together of a spliceosomal complex, a ribonucleoprotein apparatus that catalyzes nuclear mRNA splicing via transesterification reactions. [PMID:9476892]
GO:0000278	mitotic cell cycle	biological_process	F		Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent. [GOC:mah, ISBN:0815316194, Reactome:69278]
GO:0000281	mitotic cytokinesis	biological_process	F		A cell cycle process that results in the division of the cytoplasm of a cell after mitosis, resulting in the separation of the original cell into two daughter cells. [GOC:mtg_cell_cycle]
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	biological_process	F		Shortening of the poly(A) tail of a nuclear-transcribed mRNA from full length to an oligo(A) length. [GOC:krc]
GO:0000375	RNA splicing, via transesterification reactions	biological_process	F		Splicing of RNA via a series of two transesterification reactions. [GOC:krc]
GO:0000380	alternative mRNA splicing, via spliceosome	biological_process	T	T	The process of generating multiple mRNA molecules from a given set of exons by differential use of exons from the primary transcript(s) to form multiple mature mRNAs that vary in their exon composition. [GOC:krc, PMID:12110900]
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	biological_process	F		Any process that modulates the frequency, rate or extent of alternative splicing of nuclear mRNAs. [GOC:krc]
GO:0000387	spliceosomal snRNP assembly	biological_process	F		The aggregation, arrangement and bonding together of one or more snRNA and multiple protein components to form a ribonucleoprotein complex that is involved in formation of the spliceosome. [GOC:krc, GOC:mah, ISBN:0879695897]
GO:0000398	mRNA splicing, via spliceosome	biological_process	T	T	The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced. [GOC:krc, ISBN:0198506732, ISBN:0879695897]
GO:0000413	protein peptidyl-prolyl isomerization	biological_process	F		The modification of a protein by cis-trans isomerization of a proline residue. [GOC:krc, PMID:16959570]
GO:0000422	autophagy of mitochondrion	biological_process	F		The autophagic process in which mitochondria are delivered to a type of vacuole and degraded in response to changing cellular conditions. [GOC:autophagy, PMID:15798367, PMID:19289147, PMID:23065344]
GO:0000423	mitophagy	biological_process	F		The selective autophagy process in which a mitochondrion is degraded by macroautophagy. [PMID:15798367]
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	F		Any process involved in the maturation of a precursor Small SubUnit (SSU) ribosomal RNA (rRNA) molecule into a mature SSU-rRNA molecule from the pre-rRNA molecule originally produced as a tricistronic rRNA transcript that contains the Small Subunit (SSU) rRNA, 5.8S rRNA, and the Large Subunit (LSU) in that order from 5' to 3' along the primary transcript. [GOC:curators]
GO:0000723	telomere maintenance	biological_process	F		Any process that contributes to the maintenance of proper telomeric length and structure by affecting and monitoring the activity of telomeric proteins, the length of telomeric DNA and the replication and repair of the DNA. These processes includes those that shorten, lengthen, replicate and repair the telomeric DNA sequences. [GOC:BHF, GOC:BHF_telomere, GOC:elh, GOC:rl, PMID:11092831]
GO:0000724	double-strand break repair via homologous recombination	biological_process	F		The error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences. A strand in the broken DNA searches for a homologous region in an intact chromosome to serve as the template for DNA synthesis. The restoration of two intact DNA molecules results in the exchange, reciprocal or nonreciprocal, of genetic material between the intact DNA molecule and the broken DNA molecule. [GOC:elh, PMID:10357855]
GO:0000902	cell morphogenesis	biological_process	F		The developmental process in which the size or shape of a cell is generated and organized. [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]
GO:0001501	skeletal system development	biological_process	F		The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton). [GOC:dph, GOC:jid, GOC:tb]
GO:0001502	cartilage condensation	biological_process	T		The condensation of mesenchymal cells that have been committed to differentiate into chondrocytes. [ISBN:0878932437]
GO:0001503	ossification	biological_process	T		The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance. [GOC:mtg_mpo, PMID:17572649]
GO:0001523	retinoid metabolic process	biological_process	F		The chemical reactions and pathways involving retinoids, any member of a class of isoprenoids that contain or are derived from four prenyl groups linked head-to-tail. Retinoids include retinol and retinal and structurally similar natural derivatives or synthetic compounds, but need not have vitamin A activity. [ISBN:0198506732]
GO:0001525	angiogenesis	biological_process	T		Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels. [ISBN:0878932453]
